Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2007,10,12,5,1618.0,1610,1852.0,1847,OO,3764,N866AS,94.0,97.0,70.0,5.0,8.0,PHX,SLC,507,5,19,0,,0,0,0,0,0,0
2007,7,19,4,1317.0,1326,1546.0,1601,FL,679,N981AT,149.0,155.0,136.0,-15.0,-9.0,HPN,MCO,972,5,8,0,,0,0,0,0,0,0
2007,11,22,4,1433.0,1437,1506.0,1514,HA,320,N478HA,33.0,37.0,20.0,-8.0,-4.0,HNL,OGG,100,5,8,0,,0,0,0,0,0,0
2007,6,10,7,1201.0,1200,1305.0,1259,NW,557,N371NW,124.0,119.0,96.0,6.0,1.0,MSP,DEN,680,11,17,0,,0,0,0,0,0,0
2007,12,3,1,1718.0,1720,1859.0,1854,DL,1448,N399DA,101.0,94.0,71.0,5.0,-2.0,ATL,CMH,446,8,22,0,,0,0,0,0,0,0
2007,4,27,5,1302.0,1105,1441.0,1240,B6,1052,N265JB,99.0,95.0,60.0,121.0,117.0,PIT,JFK,340,11,28,0,,0,0,0,4,0,117
2007,3,9,5,549.0,550,701.0,655,MQ,3476,N697AB,72.0,65.0,48.0,6.0,-1.0,AMA,DFW,313,8,16,0,,0,0,0,0,0,0
2007,10,14,7,1129.0,1130,1407.0,1409,B6,392,N521JB,158.0,159.0,138.0,-2.0,-1.0,MCO,LGA,950,4,16,0,,0,0,0,0,0,0
2007,4,19,4,1639.0,1640,1851.0,1905,WN,195,N780SW,132.0,145.0,119.0,-14.0,-1.0,SEA,LAS,866,3,10,0,,0,0,0,0,0,0
2007,2,8,4,,832,,932,YV,7084,N436YV,,60.0,,,,DEN,EGE,121,0,0,1,B,0,0,0,0,0,0
2007,7,30,1,1447.0,1445,1538.0,1535,WN,1894,N696SW,51.0,50.0,35.0,3.0,2.0,SAT,HOU,192,4,12,0,,0,0,0,0,0,0
2007,2,23,5,559.0,600,815.0,804,CO,1093,N33637,196.0,184.0,157.0,11.0,-1.0,CMH,IAH,986,10,29,0,,0,0,0,0,0,0
2007,4,18,3,1224.0,1229,1806.0,1800,NW,360,N351NW,222.0,211.0,196.0,6.0,-5.0,SFO,MSP,1589,5,21,0,,0,0,0,0,0,0
2007,1,11,4,1000.0,1000,1059.0,1111,EV,4744,N723EV,59.0,71.0,40.0,-12.0,0.0,SAV,ATL,215,8,11,0,,0,0,0,0,0,0
2007,5,25,5,2105.0,2105,2315.0,2248,OH,5611,N821CA,130.0,103.0,48.0,27.0,0.0,JFK,BOS,187,7,75,0,,0,0,0,27,0,0
2007,1,22,1,1705.0,1706,1719.0,1720,NW,1251,N363NB,74.0,74.0,47.0,-1.0,-1.0,DTW,ORD,235,9,18,0,,0,0,0,0,0,0
2007,5,31,4,1755.0,1800,2035.0,2003,CO,825,N19623,160.0,123.0,64.0,32.0,-5.0,EWR,CLE,404,6,90,0,,0,0,0,32,0,0
2007,7,8,7,1319.0,1310,1535.0,1540,9E,5651,89429E,76.0,90.0,59.0,-5.0,9.0,MSP,GRR,408,3,14,0,,0,0,0,0,0,0
2007,10,12,5,1408.0,1335,1529.0,1445,WN,1042,N648SW,81.0,70.0,53.0,44.0,33.0,OAK,ONT,361,4,24,0,,0,11,0,11,0,22
2007,7,21,6,919.0,920,1318.0,1315,AA,1065,N5FBAA,239.0,235.0,214.0,3.0,-1.0,BOS,SJU,1674,6,19,0,,0,0,0,0,0,0
2007,1,30,2,1200.0,1150,1435.0,1422,OH,5110,N973CA,95.0,92.0,77.0,13.0,10.0,BHM,CVG,396,4,14,0,,0,0,0,0,0,0
2007,1,25,4,1500.0,1500,1719.0,1710,MQ,3360,N513AE,199.0,190.0,156.0,9.0,0.0,PIT,DFW,1068,3,40,0,,0,0,0,0,0,0
2007,6,17,7,1929.0,1930,2026.0,2030,WN,1048,N211WN,57.0,60.0,41.0,-4.0,-1.0,LAS,SAN,258,3,13,0,,0,0,0,0,0,0
2007,2,25,7,1142.0,1145,1316.0,1259,US,104,N605AW,94.0,74.0,44.0,17.0,-3.0,LAS,LAX,236,9,41,0,,0,0,0,17,0,0
2007,3,28,3,2001.0,1910,2223.0,2135,WN,391,N219WN,82.0,85.0,69.0,48.0,51.0,STL,CLE,487,3,10,0,,0,0,0,0,0,48
2007,1,4,4,1932.0,1825,2045.0,1935,AA,2080,N458AA,73.0,70.0,51.0,70.0,67.0,DFW,XNA,281,4,18,0,,0,55,0,3,0,12
2007,10,24,3,1033.0,1034,1207.0,1158,9E,5848,88089E,94.0,84.0,70.0,9.0,-1.0,DTW,ROA,382,5,19,0,,0,0,0,0,0,0
2007,6,4,1,1612.0,1616,1812.0,1803,FL,75,N317AT,120.0,107.0,88.0,9.0,-4.0,ATL,FLL,581,6,26,0,,0,0,0,0,0,0
2007,6,29,5,1759.0,1800,2126.0,2132,B6,185,N608JB,207.0,212.0,138.0,-6.0,-1.0,JFK,SAN,2446,26,43,0,,0,0,0,0,0,0
2007,1,18,4,,1840,,2010,XE,2383,0,,90.0,,,,BTV,EWR,266,0,0,1,C,0,0,0,0,0,0
2007,2,8,4,635.0,640,755.0,805,WN,2278,N440LV,80.0,85.0,68.0,-10.0,-5.0,LAS,SMF,397,3,9,0,,0,0,0,0,0,0
2007,3,27,2,922.0,925,938.0,947,FL,536,N977AT,76.0,82.0,59.0,-9.0,-3.0,ATL,MEM,332,4,13,0,,0,0,0,0,0,0
2007,11,18,7,735.0,735,853.0,905,AA,1123,N5FKAA,138.0,150.0,118.0,-12.0,0.0,DFW,PHX,868,7,13,0,,0,0,0,0,0,0
