Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,8,27,3,1121.0,1100,1859.0,1856,US,1548,N117UW,278.0,296.0,259.0,3.0,21.0,SEA,CLT,2279,6.0,13.0,0,,0,,,,,
2008,1,31,4,1104.0,1110,1219.0,1235,WN,351,N294WN,75.0,85.0,64.0,-16.0,-6.0,OAK,SAN,446,3.0,8.0,0,,0,,,,,
2008,3,27,4,557.0,600,800.0,810,NW,1722,N365NW,63.0,70.0,46.0,-10.0,-3.0,MKE,DTW,238,7.0,10.0,0,,0,,,,,
2008,10,11,6,928.0,930,1113.0,1125,DL,660,N3764D,105.0,115.0,88.0,-12.0,-2.0,ATL,DTW,594,8.0,9.0,0,,0,,,,,
2008,1,27,7,908.0,912,1019.0,1030,9E,2910,80249E,131.0,138.0,91.0,-11.0,-4.0,DTW,MCI,629,4.0,36.0,0,,0,,,,,
2008,8,17,7,1111.0,1105,1231.0,1220,WN,2315,N363SW,80.0,75.0,61.0,11.0,6.0,RNO,LAS,345,12.0,7.0,0,,0,,,,,
2008,7,5,6,1105.0,1105,1626.0,1640,WN,1344,N452WN,201.0,215.0,187.0,-14.0,0.0,LAS,MDW,1521,4.0,10.0,0,,0,,,,,
2008,6,1,7,943.0,947,1051.0,1100,CO,1856,N33286,68.0,73.0,50.0,-9.0,-4.0,BUF,EWR,282,6.0,12.0,0,,0,,,,,
2008,12,8,1,1620.0,1628,1641.0,1653,OO,6522,N406SW,81.0,85.0,62.0,-12.0,-8.0,PHX,LAX,370,6.0,13.0,0,,0,,,,,
2008,10,22,3,1920.0,1924,2049.0,2057,9E,5780,80399E,89.0,93.0,72.0,-8.0,-4.0,MEM,OKC,432,3.0,14.0,0,,0,,,,,
2008,11,9,7,1306.0,1310,1608.0,1615,AA,370,N201AA,122.0,125.0,98.0,-7.0,-4.0,ORD,LGA,733,5.0,19.0,0,,0,,,,,
2008,8,29,5,1545.0,1545,1702.0,1715,WN,3,N605SW,77.0,90.0,56.0,-13.0,0.0,PHL,MHT,290,3.0,18.0,0,,0,,,,,
2008,9,25,4,1343.0,1347,1526.0,1524,OO,3938,N439SW,103.0,97.0,69.0,2.0,-4.0,SLC,COS,410,4.0,30.0,0,,0,,,,,
2008,3,13,4,955.0,1000,1058.0,1110,AA,1599,N403AA,63.0,70.0,49.0,-12.0,-5.0,DFW,IAH,224,3.0,11.0,0,,0,,,,,
2008,7,20,7,746.0,750,919.0,917,B6,1073,N292JB,93.0,87.0,53.0,2.0,-4.0,JFK,RIC,288,3.0,37.0,0,,0,,,,,
2008,1,23,3,920.0,920,1249.0,1231,B6,353,N657JB,389.0,371.0,373.0,18.0,0.0,JFK,BUR,2465,2.0,14.0,0,,0,0.0,0.0,18.0,0.0,0.0
2008,8,6,3,1242.0,1205,1538.0,1510,MQ,3387,N500AE,116.0,125.0,100.0,28.0,37.0,DFW,TYS,772,2.0,14.0,0,,0,28.0,0.0,0.0,0.0,0.0
2008,1,1,2,707.0,710,831.0,842,XE,2606,N17513,84.0,92.0,61.0,-11.0,-3.0,IAH,MEM,469,4.0,19.0,0,,0,,,,,
2008,5,27,2,1354.0,1400,1541.0,1524,US,2174,N724UW,107.0,84.0,44.0,17.0,-6.0,DCA,LGA,214,8.0,55.0,0,,0,0.0,0.0,17.0,0.0,0.0
2008,9,22,1,1346.0,1330,1444.0,1440,AS,691,N586AS,58.0,70.0,41.0,4.0,16.0,GEG,SEA,224,6.0,11.0,0,,0,,,,,
2008,1,12,6,1813.0,1807,2112.0,2049,FL,625,N921AT,179.0,162.0,137.0,23.0,6.0,PHL,MCO,861,11.0,31.0,0,,0,6.0,0.0,17.0,0.0,0.0
2008,4,20,7,1923.0,1915,2016.0,2013,CO,1441,N61304,53.0,58.0,28.0,3.0,8.0,IAH,AUS,140,5.0,20.0,0,,0,,,,,
2008,8,1,5,1106.0,1110,1239.0,1245,XE,2249,N17513,93.0,95.0,74.0,-6.0,-4.0,IAH,MEM,469,6.0,13.0,0,,0,,,,,
2008,3,17,1,1931.0,1914,2025.0,2004,NW,1695,N786NC,54.0,50.0,28.0,21.0,17.0,DTW,GRR,120,5.0,21.0,0,,0,13.0,0.0,4.0,0.0,4.0
2008,8,16,6,1620.0,1620,1853.0,1856,DL,637,N3749D,333.0,336.0,285.0,-3.0,0.0,JFK,PHX,2153,5.0,43.0,0,,0,,,,,
2008,3,20,4,640.0,640,830.0,820,OH,5320,N914CA,110.0,100.0,73.0,10.0,0.0,PIT,JFK,340,9.0,28.0,0,,0,,,,,
2008,10,25,6,1051.0,1040,1127.0,1125,MQ,4151,N928MQ,96.0,105.0,80.0,2.0,11.0,BUF,ORD,473,5.0,11.0,0,,0,,,,,
2008,11,22,6,950.0,940,1139.0,1136,DL,989,N962DL,109.0,116.0,79.0,3.0,10.0,ATL,MIA,595,6.0,24.0,0,,0,,,,,
2008,7,17,4,1519.0,1515,1628.0,1625,WN,211,N908WN,69.0,70.0,51.0,3.0,4.0,SAN,PHX,304,6.0,12.0,0,,0,,,,,
2008,10,20,1,711.0,715,837.0,831,US,1612,N434US,86.0,76.0,51.0,6.0,-4.0,PHL,BOS,280,12.0,23.0,0,,0,,,,,
