index,year,month,day_of_week,unique_carrier,arr_delay,origin,dest,distance,depart_time,arrive_time,schedule_dep_time,schedule_arr_time,total_delay,delay_cause,delay_minute
0,2007,10,5,OO,5.0,PHX,SLC,507,16:18,18:52,16:10,18:47,0.0,,
1,2007,7,4,FL,-15.0,HPN,MCO,972,13:17,15:46,13:26,16:01,0.0,,
2,2007,11,4,HA,-8.0,HNL,OGG,100,14:33,15:06,14:37,15:14,0.0,,
3,2007,6,7,NW,6.0,MSP,DEN,680,12:01,13:05,12:00,12:59,0.0,,
4,2007,12,1,DL,5.0,ATL,CMH,446,17:18,18:59,17:20,18:54,0.0,,
5,2007,4,5,B6,121.0,PIT,JFK,340,13:02,14:41,11:05,12:40,121.0,nas_delay,4.0
5,2007,4,5,B6,121.0,PIT,JFK,340,13:02,14:41,11:05,12:40,121.0,late_aircraft_delay,117.0
6,2007,3,5,MQ,6.0,AMA,DFW,313,05:49,07:01,05:50,06:55,0.0,,
7,2007,10,7,B6,-2.0,MCO,LGA,950,11:29,14:07,11:30,14:09,0.0,,
8,2007,4,4,WN,-14.0,SEA,LAS,866,16:39,18:51,16:40,19:05,0.0,,
9,2007,2,4,YV,,DEN,EGE,121,,,08:32,09:32,0.0,,
10,2007,7,1,WN,3.0,SAT,HOU,192,14:47,15:38,14:45,15:35,0.0,,
11,2007,2,5,CO,11.0,CMH,IAH,986,05:59,08:15,06:00,08:04,0.0,,
12,2007,4,3,NW,6.0,SFO,MSP,1589,12:24,18:06,12:29,18:00,0.0,,
13,2007,1,4,EV,-12.0,SAV,ATL,215,10:00,10:59,10:00,11:11,0.0,,
14,2007,5,5,OH,27.0,JFK,BOS,187,21:05,23:15,21:05,22:48,27.0,nas_delay,27.0
15,2007,1,1,NW,-1.0,DTW,ORD,235,17:05,17:19,17:06,17:20,0.0,,
16,2007,5,4,CO,32.0,EWR,CLE,404,17:55,20:35,18:00,20:03,32.0,nas_delay,32.0
17,2007,7,7,9E,-5.0,MSP,GRR,408,13:19,15:35,13:10,15:40,0.0,,
18,2007,10,5,WN,44.0,OAK,ONT,361,14:08,15:29,13:35,14:45,44.0,carrier_delay,11.0
18,2007,10,5,WN,44.0,OAK,ONT,361,14:08,15:29,13:35,14:45,44.0,nas_delay,11.0
18,2007,10,5,WN,44.0,OAK,ONT,361,14:08,15:29,13:35,14:45,44.0,late_aircraft_delay,22.0
19,2007,7,6,AA,3.0,BOS,SJU,1674,09:19,13:18,09:20,13:15,0.0,,
20,2007,1,2,OH,13.0,BHM,CVG,396,12:00,14:35,11:50,14:22,0.0,,
21,2007,1,4,MQ,9.0,PIT,DFW,1068,15:00,17:19,15:00,17:10,0.0,,
22,2007,6,7,WN,-4.0,LAS,SAN,258,19:29,20:26,19:30,20:30,0.0,,
23,2007,2,7,US,17.0,LAS,LAX,236,11:42,13:16,11:45,12:59,17.0,nas_delay,17.0
24,2007,3,3,WN,48.0,STL,CLE,487,20:01,22:23,19:10,21:35,48.0,late_aircraft_delay,48.0
25,2007,1,4,AA,70.0,DFW,XNA,281,19:32,20:45,18:25,19:35,70.0,carrier_delay,55.0
25,2007,1,4,AA,70.0,DFW,XNA,281,19:32,20:45,18:25,19:35,70.0,nas_delay,3.0
25,2007,1,4,AA,70.0,DFW,XNA,281,19:32,20:45,18:25,19:35,70.0,late_aircraft_delay,12.0
26,2007,10,3,9E,9.0,DTW,ROA,382,10:33,12:07,10:34,11:58,0.0,,
27,2007,6,1,FL,9.0,ATL,FLL,581,16:12,18:12,16:16,18:03,0.0,,
28,2007,6,5,B6,-6.0,JFK,SAN,2446,17:59,21:26,18:00,21:32,0.0,,
29,2007,1,4,XE,,BTV,EWR,266,,,18:40,20:10,0.0,,
30,2007,2,4,WN,-10.0,LAS,SMF,397,06:35,07:55,06:40,08:05,0.0,,
31,2007,3,2,FL,-9.0,ATL,MEM,332,09:22,09:38,09:25,09:47,0.0,,
32,2007,11,7,AA,-12.0,DFW,PHX,868,07:35,08:53,07:35,09:05,0.0,,
33,2007,2,2,AS,-14.0,PDX,PSP,873,16:53,19:08,16:57,19:22,0.0,,
34,2007,11,7,XE,-35.0,TYS,IAH,772,18:25,19:32,18:35,20:07,0.0,,
35,2007,6,5,WN,21.0,MDW,PHL,668,10:32,13:36,10:15,13:15,21.0,carrier_delay,8.0
35,2007,6,5,WN,21.0,MDW,PHL,668,10:32,13:36,10:15,13:15,21.0,nas_delay,4.0
35,2007,6,5,WN,21.0,MDW,PHL,668,10:32,13:36,10:15,13:15,21.0,late_aircraft_delay,9.0
36,2007,3,3,YV,-3.0,HNL,KOA,163,19:29,20:07,19:30,20:10,0.0,,
37,2007,8,3,OO,-3.0,HDN,SLC,251,07:54,09:07,08:05,09:10,0.0,,
38,2007,3,2,US,-15.0,IAD,CLT,321,13:28,14:39,13:35,14:54,0.0,,
39,2007,10,5,NW,-7.0,MSN,DTW,312,18:08,20:17,18:03,20:24,0.0,,
40,2007,12,5,EV,3.0,TOL,ATL,549,13:48,15:43,13:50,15:40,0.0,,
41,2007,7,1,MQ,1.0,LGA,CMH,478,14:41,16:36,14:40,16:35,0.0,,
42,2007,8,6,DL,6.0,MSY,ATL,425,10:20,12:54,10:21,12:48,0.0,,
43,2007,8,2,US,-23.0,BOS,LGA,185,11:53,12:47,12:00,13:10,0.0,,
44,2007,8,4,MQ,102.0,ORD,XNA,522,20:21,21:52,18:27,20:10,102.0,carrier_delay,24.0
44,2007,8,4,MQ,102.0,ORD,XNA,522,20:21,21:52,18:27,20:10,102.0,late_aircraft_delay,78.0
45,2007,11,6,AA,7.0,MIA,RDU,700,20:31,22:37,20:30,22:30,0.0,,
46,2007,5,2,AA,-4.0,DFW,SEA,1660,18:48,20:56,18:50,21:00,0.0,,
47,2007,3,4,UA,-5.0,LAS,DEN,629,09:44,12:35,09:50,12:40,0.0,,
48,2007,2,6,YV,22.0,ORD,LAN,179,10:42,13:00,10:42,12:38,22.0,nas_delay,22.0
49,2007,12,2,EV,-12.0,ATL,DSM,743,19:28,20:40,19:30,20:52,0.0,,
50,2007,4,3,AQ,-5.0,KOA,HNL,163,08:16,08:55,08:20,09:00,0.0,,
51,2007,2,2,WN,36.0,LAS,SMF,397,10:09,11:51,09:50,11:15,36.0,carrier_delay,12.0
51,2007,2,2,WN,36.0,LAS,SMF,397,10:09,11:51,09:50,11:15,36.0,nas_delay,17.0
51,2007,2,2,WN,36.0,LAS,SMF,397,10:09,11:51,09:50,11:15,36.0,late_aircraft_delay,7.0
52,2007,1,6,US,-14.0,TPA,DCA,814,13:38,15:34,13:45,15:48,0.0,,
53,2007,2,2,MQ,16.0,ORD,ATL,606,16:50,19:41,16:20,19:25,16.0,carrier_delay,16.0
54,2007,12,5,B6,-3.0,RIC,FLL,805,13:32,15:37,13:30,15:40,0.0,,
55,2007,9,6,DL,-19.0,ATL,DEN,1199,18:02,18:53,18:04,19:12,0.0,,
56,2007,12,1,WN,,HOU,DAL,239,,,16:00,16:55,0.0,,
57,2007,11,5,UA,31.0,SFO,PHL,2521,14:30,23:06,14:16,22:35,31.0,nas_delay,17.0
57,2007,11,5,UA,31.0,SFO,PHL,2521,14:30,23:06,14:16,22:35,31.0,late_aircraft_delay,14.0
58,2007,2,2,OO,-8.0,DEN,GJT,212,13:26,14:30,13:30,14:38,0.0,,
59,2007,9,4,MQ,-3.0,PIA,ORD,130,09:21,10:17,09:30,10:20,0.0,,
60,2007,7,4,UA,28.0,ORD,DEN,888,19:22,20:58,18:45,20:30,28.0,carrier_delay,12.0
60,2007,7,4,UA,28.0,ORD,DEN,888,19:22,20:58,18:45,20:30,28.0,late_aircraft_delay,16.0
61,2007,1,7,NW,21.0,MEM,MSY,349,19:59,21:10,19:35,20:49,21.0,carrier_delay,21.0
62,2007,1,3,YV,5.0,CHS,IAD,441,14:34,16:15,14:34,16:10,0.0,,
63,2007,10,2,NW,20.0,PDX,HNL,2603,12:50,15:48,12:40,15:28,20.0,carrier_delay,10.0
63,2007,10,2,NW,20.0,PDX,HNL,2603,12:50,15:48,12:40,15:28,20.0,nas_delay,10.0
64,2007,10,6,WN,-9.0,SAN,SMF,480,11:56,13:16,11:55,13:25,0.0,,
65,2007,7,7,YV,42.0,IAD,CLT,321,13:01,14:25,12:24,13:43,42.0,late_aircraft_delay,42.0
66,2007,4,3,9E,64.0,DTW,FNT,56,18:25,19:14,17:24,18:10,64.0,carrier_delay,61.0
66,2007,4,3,9E,64.0,DTW,FNT,56,18:25,19:14,17:24,18:10,64.0,nas_delay,3.0
67,2007,2,4,AA,23.0,ORD,SJU,2072,09:20,16:08,09:15,15:45,23.0,nas_delay,23.0
68,2007,6,6,WN,12.0,BWI,PHX,1999,15:23,17:12,15:10,17:00,0.0,,
69,2007,9,2,WN,-3.0,ONT,SMF,389,19:20,20:32,19:20,20:35,0.0,,
70,2007,8,6,AA,-25.0,MIA,DFW,1121,21:53,23:25,22:00,23:50,0.0,,
71,2007,1,6,UA,-11.0,BDL,IAD,326,19:15,20:44,19:32,20:55,0.0,,
72,2007,7,1,CO,51.0,DFW,IAH,224,08:00,09:01,07:00,08:10,51.0,carrier_delay,51.0
73,2007,3,2,WN,-7.0,BNA,MDW,395,10:58,12:13,11:00,12:20,0.0,,
74,2007,8,4,US,8.0,FLL,PHL,992,14:07,16:48,14:00,16:40,0.0,,
75,2007,3,2,WN,2.0,ABQ,LAS,487,10:05,10:42,10:05,10:40,0.0,,
76,2007,3,1,FL,-23.0,JAX,ATL,270,06:04,07:02,06:15,07:25,0.0,,
77,2007,2,4,XE,22.0,IND,IAH,845,12:39,14:52,12:55,14:30,22.0,nas_delay,22.0
78,2007,1,7,WN,14.0,HOU,CRP,187,21:15,21:59,20:55,21:45,0.0,,
79,2007,5,6,UA,-20.0,ORD,LGA,733,09:58,12:53,10:00,13:13,0.0,,
80,2007,12,7,XE,-17.0,JAN,IAH,351,18:21,19:27,18:26,19:44,0.0,,
81,2007,4,3,9E,-11.0,MLI,DTW,373,09:55,12:23,10:00,12:34,0.0,,
82,2007,10,3,OO,-7.0,CIC,SFO,153,17:57,19:03,18:11,19:10,0.0,,
83,2007,8,1,XE,121.0,EWR,ROC,246,23:17,00:34,21:05,22:33,121.0,late_aircraft_delay,121.0
84,2007,1,3,CO,-12.0,LAS,EWR,2227,22:00,05:33,22:10,05:45,0.0,,
85,2007,1,2,WN,-10.0,LAS,DEN,629,11:00,13:40,11:05,13:50,0.0,,
86,2007,4,5,B6,-14.0,MCO,EWR,938,08:19,10:43,08:25,10:57,0.0,,
87,2007,11,6,9E,-11.0,MEM,CLT,512,19:16,21:41,19:15,21:52,0.0,,
88,2007,8,4,NW,29.0,ATL,DTW,594,12:41,14:54,12:19,14:25,29.0,carrier_delay,4.0
88,2007,8,4,NW,29.0,ATL,DTW,594,12:41,14:54,12:19,14:25,29.0,nas_delay,7.0
88,2007,8,4,NW,29.0,ATL,DTW,594,12:41,14:54,12:19,14:25,29.0,late_aircraft_delay,18.0
89,2007,3,1,MQ,66.0,SHV,DFW,190,11:48,13:06,11:00,12:00,66.0,carrier_delay,24.0
89,2007,3,1,MQ,66.0,SHV,DFW,190,11:48,13:06,11:00,12:00,66.0,nas_delay,18.0
89,2007,3,1,MQ,66.0,SHV,DFW,190,11:48,13:06,11:00,12:00,66.0,late_aircraft_delay,24.0
90,2007,10,3,YV,2.0,CLT,BNA,329,09:40,10:17,09:40,10:15,0.0,,
91,2007,12,4,NW,24.0,DLH,MSP,144,12:58,14:01,12:45,13:37,24.0,nas_delay,11.0
91,2007,12,4,NW,24.0,DLH,MSP,144,12:58,14:01,12:45,13:37,24.0,late_aircraft_delay,13.0
92,2007,7,7,WN,21.0,TPA,BWI,842,16:12,18:26,15:45,18:05,21.0,carrier_delay,15.0
92,2007,7,7,WN,21.0,TPA,BWI,842,16:12,18:26,15:45,18:05,21.0,late_aircraft_delay,6.0
93,2007,4,6,YV,-10.0,LAX,PHX,370,07:55,09:09,08:00,09:19,0.0,,
94,2007,1,5,MQ,-11.0,LAX,SAN,109,16:29,17:24,16:30,17:35,0.0,,
95,2007,6,6,WN,-9.0,MCO,IAD,758,16:32,18:31,16:35,18:40,0.0,,
96,2007,3,7,DL,-10.0,LGA,TPA,1011,07:21,10:08,07:25,10:18,0.0,,
97,2007,10,3,NW,16.0,MDW,MSP,349,12:32,14:11,12:26,13:55,16.0,nas_delay,16.0
98,2007,2,3,UA,18.0,BOS,ORD,867,08:58,11:00,09:00,10:42,18.0,nas_delay,18.0
99,2007,8,6,EV,60.0,ATL,CHA,106,22:00,23:00,21:15,22:00,60.0,carrier_delay,45.0
99,2007,8,6,EV,60.0,ATL,CHA,106,22:00,23:00,21:15,22:00,60.0,nas_delay,15.0
100,2007,5,5,NW,11.0,LAX,HNL,2556,14:46,17:28,14:45,17:17,0.0,,
101,2007,5,4,MQ,-1.0,BUF,ORD,473,13:52,14:29,13:50,14:30,0.0,,
102,2007,9,3,NW,10.0,ATL,MEM,332,13:13,13:43,13:10,13:33,0.0,,
103,2007,7,3,DL,-14.0,ATL,FLL,581,14:01,15:41,14:02,15:55,0.0,,
104,2007,12,5,DL,0.0,PBI,BOS,1197,20:15,23:14,20:15,23:14,0.0,,
105,2007,6,3,WN,11.0,SJC,ONT,333,14:16,15:26,14:05,15:15,0.0,,
106,2007,10,3,AS,-31.0,SEA,ANC,1449,10:46,13:09,10:55,13:40,0.0,,
107,2007,7,2,XE,-16.0,SAT,TUS,762,13:27,13:23,13:30,13:39,0.0,,
108,2007,6,6,WN,0.0,SNA,OAK,371,19:20,20:30,19:15,20:30,0.0,,
109,2007,4,3,WN,11.0,BNA,MCI,491,12:15,14:01,12:10,13:50,0.0,,
